review,rating,date,bank,source,translated_review,final_translation
what is this app problem???,1,2025-06-05,CBE,A Google user,what is this app problem???,what is this app problem???
the app is proactive and a good connections.,5,2025-06-05,CBE,A Google user,the app is proactive and a good connections.,the app is proactive and a good connections.
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,A Google user,I cannot send to cbebirr app. through this app.,I cannot send to cbebirr app. through this app.
good,4,2025-06-05,CBE,A Google user,good,good
not functional,1,2025-06-05,CBE,A Google user,not functional,not functional
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,A Google user,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).","everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare)."
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,A Google user,"The name of our account is the name of our account, but the Apple Accounts will be rejected when the Apple Accounts starts MR",mr space
best,5,2025-06-04,CBE,A Google user,best,best
bezabih,5,2025-06-04,CBE,A Google user,Bezabih,bezabih
Best Mobile Banking app ever,5,2025-06-04,CBE,A Google user,Best Mobile Banking app ever,Best Mobile Banking app ever
good,5,2025-06-04,CBE,A Google user,good,good
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,A Google user,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring
Good,5,2025-06-04,CBE,A Google user,Good,Good
👌👍,5,2025-06-04,CBE,A Google user,👌👍,thumbs up
very niec,5,2025-06-04,CBE,A Google user,very niec,very niec
best app of finance,5,2025-06-04,CBE,A Google user,best app of finance,best app of finance
yetemeta,1,2025-06-03,CBE,A Google user,YETEMETA,yetemeta
Engida Kebede Fetera,5,2025-06-03,CBE,A Google user,The Egigida kebe terr,Engida Kebede Fetera
good,5,2025-06-03,CBE,A Google user,good,good
it is not safety,1,2025-06-03,CBE,A Google user,it is not safety,it is not safety
NICE bank,5,2025-06-03,CBE,A Google user,NICE bank,NICE bank
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,A Google user,it is like a childish app make it better the worst I have ever seen,it is like a childish app make it better the worst I have ever seen
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,A Google user,"It's a problem solver application, go ahead CBE, I love so much.","It's a problem solver application, go ahead CBE, I love so much."
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,A Google user,It's good but try to make it facilitate for your client,It's good but try to make it facilitate for your client
best app,5,2025-06-01,CBE,A Google user,best app,best app
Awesome bank,5,2025-06-01,CBE,A Google user,Awesome bank,Awesome bank
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,A Google user,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.
Masha alla,5,2025-05-31,CBE,A Google user,Masha all,Masha alla
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,A Google user,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again","Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again"
better service,5,2025-05-31,CBE,A Google user,better service,better service
"it,s good app and time manager 👍",5,2025-05-30,CBE,A Google user,"it,s good app and time manager 👍","it,s good app and time manager thumbs up"
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,A Google user,Malkaamuu wet people,malkaamuu Jiidhaa Namoo
lower system everything,3,2025-05-30,CBE,A Google user,lower system everything,lower system everything
Nice!,5,2025-05-30,CBE,A Google user,Nice!,Nice!
Keep it up My CBE,5,2025-05-29,CBE,A Google user,Keep it up My CBE,Keep it up My CBE
yes good,5,2025-05-28,CBE,A Google user,yes good,yes good
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,A Google user,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""","I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account."""
i like everything of this app,5,2025-05-27,CBE,A Google user,i like everything of this app,i like everything of this app
good,5,2025-05-27,CBE,A Google user,good,good
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,A Google user,🤬🤬🤬🤬 network 🛜,network
Best,5,2025-05-26,CBE,A Google user,Best,Best
